service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
256537001,1,1,1,1,1,0,0,20230904,20230929
257646501,0,0,0,0,0,1,0,20230909,20230930
257647601,0,0,0,0,0,0,1,20230910,20231001
258186002,1,1,1,1,1,0,0,20230912,20230912
258219502,0,0,0,0,0,1,0,20230917,20230917
258869503,0,0,0,0,0,1,0,20230923,20230923
258914602,0,0,0,0,0,0,1,20230924,20230924
258132000,1,1,1,1,1,0,0,20230904,20230928
257642500,0,0,0,0,0,1,0,20230909,20230923
257568600,0,0,0,0,0,0,1,20230910,20230924
258933001,1,1,1,1,1,0,0,20230929,20230929
258936501,0,0,0,0,0,1,0,20230930,20230930
258938601,0,0,0,0,0,0,1,20231001,20231001
258133000,1,1,1,1,1,0,0,20230904,20230929
257641500,0,0,0,0,0,1,0,20230909,20230930
257567600,0,0,0,0,0,0,1,20230910,20231001
258134000,1,1,1,1,1,0,0,20230904,20230929
257640500,0,0,0,0,0,1,0,20230909,20230930
257566600,0,0,0,0,0,0,1,20230910,20231001
258456501,0,0,0,0,0,1,0,20230917,20230917
256714000,1,1,1,1,1,0,0,20230904,20230929
256691500,0,0,0,0,0,1,0,20230909,20230930
256692600,0,0,0,0,0,0,1,20230910,20231001
258316501,0,0,0,0,0,1,0,20230917,20230917
257171000,1,1,1,1,1,0,0,20230904,20230929
258388001,1,1,1,1,1,0,0,20230908,20230908
257159500,0,0,0,0,0,1,0,20230909,20230930
257131600,0,0,0,0,0,0,1,20230910,20231001
258443002,1,1,1,1,1,0,0,20230912,20230912
258519501,0,0,0,0,0,1,0,20230917,20230917
257126001,1,1,1,1,1,0,0,20230904,20230929
257117501,0,0,0,0,0,1,0,20230909,20230930
257115601,0,0,0,0,0,0,1,20230910,20231001
258706502,0,0,0,0,0,1,0,20230917,20230917
257128001,1,1,1,1,1,0,0,20230904,20230929
257142501,0,0,0,0,0,1,0,20230909,20230930
257151601,0,0,0,0,0,0,1,20230910,20230924
258601502,0,0,0,0,0,1,0,20230917,20230917
259072602,0,0,0,0,0,0,1,20231001,20231001
258708001,1,1,1,1,1,0,0,20230904,20230929
258734502,0,0,0,0,0,1,0,20230909,20230930
258761601,0,0,0,0,0,0,1,20230910,20230924
258510501,0,0,0,0,0,1,0,20230917,20230917
259040602,0,0,0,0,0,0,1,20231001,20231001
257023000,1,1,1,1,1,0,0,20230904,20230929
257030500,0,0,0,0,0,1,0,20230909,20230930
257032600,0,0,0,0,0,0,1,20230910,20231001
258603501,0,0,0,0,0,1,0,20230917,20230917
257881000,1,1,1,1,1,0,0,20230904,20230929
258005070,1,1,1,1,1,0,0,20230906,20230927
257092500,0,0,0,0,0,1,0,20230909,20230930
257093600,0,0,0,0,0,0,1,20230910,20231001
257172000,1,1,1,1,1,0,0,20230904,20230929
257983070,1,1,1,1,1,0,0,20230906,20230927
257160500,0,0,0,0,0,1,0,20230909,20230930
257132600,0,0,0,0,0,0,1,20230910,20231001
257085001,1,1,1,1,1,0,0,20230904,20230929
257099501,0,0,0,0,0,1,0,20230909,20230930
257119601,0,0,0,0,0,0,1,20230910,20230924
258448502,0,0,0,0,0,1,0,20230917,20230917
259037602,0,0,0,0,0,0,1,20231001,20231001
256935001,1,1,1,1,1,0,0,20230904,20230929
256950501,0,0,0,0,0,1,0,20230909,20230930
257011601,0,0,0,0,0,0,1,20230910,20231001
258682502,0,0,0,0,0,1,0,20230917,20230917
258135000,1,1,1,1,1,0,0,20230904,20230929
257639500,0,0,0,0,0,1,0,20230909,20230923
257565600,0,0,0,0,0,0,1,20230910,20230924
258457501,0,0,0,0,0,1,0,20230917,20230917
258910502,0,0,0,0,0,1,0,20230930,20230930
258908601,0,0,0,0,0,0,1,20231001,20231001
257208001,1,1,1,1,1,0,0,20230904,20230929
257180501,0,0,0,0,0,1,0,20230909,20230930
257166601,0,0,0,0,0,0,1,20230910,20231001
258663502,0,0,0,0,0,1,0,20230917,20230917
257035000,1,1,1,1,1,0,0,20230904,20230929
257046030,1,1,1,1,1,0,0,20230906,20230927
257050500,0,0,0,0,0,1,0,20230909,20230930
257054600,0,0,0,0,0,0,1,20230910,20231001
258657501,0,0,0,0,0,1,0,20230917,20230917
257155001,1,1,1,1,1,0,0,20230904,20230929
257162501,0,0,0,0,0,1,0,20230909,20230930
257164601,0,0,0,0,0,0,1,20230910,20231001
258452502,0,0,0,0,0,1,0,20230917,20230917
257284001,1,1,1,1,1,0,0,20230904,20230928
257854051,1,1,1,1,1,0,0,20230908,20230929
257282501,0,0,0,0,0,1,0,20230909,20230930
257238601,0,0,0,0,0,0,1,20230910,20231001
258675502,0,0,0,0,0,1,0,20230917,20230917
257026001,1,1,1,1,1,0,0,20230904,20230929
257037501,0,0,0,0,0,1,0,20230909,20230930
257041601,0,0,0,0,0,0,1,20230910,20231001
258585502,0,0,0,0,0,1,0,20230917,20230917
257352000,1,1,1,1,1,0,0,20230904,20230929
257366500,0,0,0,0,0,1,0,20230909,20230930
